customer_name,total_revenue,profit
"Circuit Innovations",3973000.00,2749747.00
"Quantum Innovations Pvt. Ltd.",2847000.00,1980415.00
"Innovative Systems",2590000.00,1671776.00
"GreenEnergy Solutions",2543000.00,1739878.00
"Electric Power",2513000.00,1731714.00
NanoTech,2407500.00,1657047.00
"Digital Innovations South Korea",2237000.00,1521480.00
"NextGen Solutions",2188500.00,1501104.00
"Energy Systems",2175000.00,1480645.00
FutureTech,2114500.00,1469235.00
"Advanced Robotics Japan",2112000.00,1431330.00
"Cloud Systems",2001000.00,1366981.00
"Robotic Solutions",1849500.00,1255638.00
"Energy Tech",1847000.00,1270114.00
"Sustainable Systems",1754000.00,1105127.00
"NextGen Electronics",1689500.00,1122012.00
TechCorp,1633000.00,1070777.00
"Smart Devices",1621000.00,1074645.00
"Intelligent Devices",1604500.00,1074439.00
"Eco Innovations GmbH",1567500.00,1019680.00
"SmartTech Korea",1545500.00,1051837.00
"AI Solutions Japan",1531000.00,1052818.00
"Tech Experts",1499000.00,997096.00
"Automotive Solutions",1373000.00,904812.00
"Cloud Solutions",1342000.00,891713.00
"Advanced Automation",1338500.00,881695.00
"Smart Systems",1274000.00,837770.00
"AI Robotics China",1262000.00,842097.00
"Quantum Innovations Ltd.",1259000.00,847598.00
"Visionary Electronics",1220000.00,827272.00
"Venture Electronics",1160000.00,779998.00
"AI Labs",1153000.00,738386.00
"Quantum Innovations",1114000.00,748548.00
"Automated Devices",1075000.00,713847.00
TechMinds,1061500.00,703794.00
"HighTech Industries",1053000.00,706385.00
"Energy Tech Solutions",1050500.00,691761.00
"Digital Vision",1008000.00,663869.00
"Tech Global Solutions",1002000.00,675768.00
GreenTech,1002000.00,666714.00
"SmartElectronics Inc.",875500.00,569475.00
"Intelligent Systems",826500.00,556525.00
"Eco Innovations",803500.00,529225.00
"Robotics Ltd.",758000.00,508000.00
"Digital Automation",645000.00,439250.00
"AI Robotics",606500.00,406425.00
"Future Electronics Ltd.",594500.00,387975.00
"Robotic Systems Ltd.",587000.00,398550.00
"TechMinds Electronics",587000.00,396400.00
"Circuit Innovations France",460500.00,310925.00
