product_id, product_name, category_name, supplier_name, unit_price, carrying_cost_per_unit,,,,
6001,High-Performance CPU,CPU,Advanced Micro Supplies,350,20,,,,
6002,Gaming Graphics Card,GPU,PixelWorks,700,25,,,,
6003,Workstation Motherboard,Motherboard,PrimeTech Components,200,15,,,,
6004,DDR5 RAM Module,Memory,MemoryCorp,120,8,,,,
6005,1TB NVMe SSD,Storage,DataSafe Innovations,150,10,,,,
6006,Modular Power Supply,Power Supply,PixelWorks,180,12,,,,
6007,Compact Cooling Fan,Cooling,PixelWorks,35,2.5,,,,
6008,Industrial Router,Networking,PixelWorks,250,18,,,,
6009,4K Ultra HD Monitor,Displays,PixelWorks,400,22,,,,
6010,Ergonomic Mouse,Peripherals,PixelWorks,50,3.5,,,,
6011,Energy-Efficient PSU,Power Supply,EcoEnergy Supplies,170,11,,,,
6012,Liquid Cooling System,Cooling,AquaChill Technologies,250,14,,,,
6013,3D Sensor Module,Components,FutureVision Systems,300,20,,,,
6014,AI Accelerator Chip,Chipset,NextGen AI Tech,800,40,,,,
6015,Fiber Optic Cable,Networking,OpticLine Co.,25,1.5,,,,
6016,500GB SATA SSD,Storage,StorageKing Ltd.,100,6.5,,,,
6017,1080p Webcam,Peripherals,DataSafe Innovations,75,4,,,,
6018,Server-Grade GPU,GPU,DataSafe Innovations,1200,50,,,,
6019,Compact Desktop Case,Cases,DataSafe Innovations,90,5.5,,,,
6020,Wireless Keyboard,Peripherals,DataSafe Innovations,60,4,,,,
6021,AI Training Processor,CPU,DataSafe Innovations,450,28,,,,
6022,Compact Motherboard,Motherboard,TechBase Components,160,10,,,,
6023,Energy-Efficient GPU,GPU,GreenGraphics Ltd.,550,22,,,,
6024,Industrial Chipset,Chipset,GreenGraphics Ltd.,320,19,,,,
6025,512GB NVMe SSD,Storage,GreenGraphics Ltd.,140,7.5,,,,
6026,1TB HDD,Storage,ClassicStorage Ltd.,80,4.5,,,,
6027,High-Speed RAM Module,Memory,SpeedyMemory Inc.,90,6,,,,
6028,Silent Power Supply Unit,Power Supply,AquaChill Technologies,120,8,,,,
6029,RGB Cooling Fan,Cooling,AquaChill Technologies,35,2.2,,,,
6030,Advanced Liquid Cooler,Cooling,AquaChill Technologies,220,12,,,,
6031,Dual-Band Wi-Fi Adapter,Networking,AquaChill Technologies,60,4,,,,
6032,Multi-Mode Router,Networking,AquaChill Technologies,180,12,,,,
6033,Curved Gaming Monitor,Displays,ProDisplay Technologies,450,26,,,,
6034,Ergonomic Keyboard,Peripherals,ComfortInput Devices,70,5,,,,
6035,Programmable Mouse,Peripherals,PrecisionControl Ltd.,55,4,,,,
6036,RAID Storage Array,Storage,EnterpriseStorage Inc.,2000,80,,,,
6037,Modular Server Rack,Server Equipment,ComfortInput Devices,1100,55,,,,
6038,HDMI Cable,Peripherals,ComfortInput Devices,15,0.8,,,,
6039,Portable Battery Pack,Power Supply,ComfortInput Devices,90,6.5,,,,
6040,3D Printer Filament,Peripherals,MakerTech Supplies,40,1.2,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,74.33
,,,,,,,,,18.74
,,,,,,,,,18.06
,,,,,,,,,18.58
,,,,,,,,,18.94
